race_type,course_len,ground_state,class,体重帯,1着,2着,3着,着外
ダート,1200,不良,1勝クラス,420,0,0,0,4
ダート,1200,不良,1勝クラス,430,0,0,0,1
ダート,1200,不良,1勝クラス,440,0,1,0,5
ダート,1200,不良,1勝クラス,450,1,0,1,13
ダート,1200,不良,1勝クラス,460,0,1,2,8
ダート,1200,不良,1勝クラス,470,2,1,1,7
ダート,1200,不良,1勝クラス,480,2,0,1,14
ダート,1200,不良,1勝クラス,490,0,1,1,8
ダート,1200,不良,1勝クラス,500,1,1,1,8
ダート,1200,不良,1勝クラス,510,1,2,0,5
ダート,1200,不良,1勝クラス,520,0,0,0,3
ダート,1200,不良,1勝クラス,540,0,0,1,0
ダート,1200,不良,2勝クラス,440,0,0,0,3
ダート,1200,不良,2勝クラス,450,0,1,0,5
ダート,1200,不良,2勝クラス,470,0,0,0,3
ダート,1200,不良,2勝クラス,480,1,0,1,3
ダート,1200,不良,2勝クラス,490,0,1,0,5
ダート,1200,不良,2勝クラス,510,0,0,0,3
ダート,1200,不良,2勝クラス,520,0,0,1,1
ダート,1200,不良,2勝クラス,530,1,0,0,1
ダート,1200,不良,3勝クラス,470,0,1,0,3
ダート,1200,不良,3勝クラス,480,0,0,0,1
ダート,1200,不良,3勝クラス,490,0,0,0,1
ダート,1200,不良,3勝クラス,500,0,0,0,2
ダート,1200,不良,3勝クラス,510,0,0,1,2
ダート,1200,不良,3勝クラス,520,0,0,0,2
ダート,1200,不良,3勝クラス,530,1,0,0,0
ダート,1200,不良,all,390,1,0,0,1
ダート,1200,不良,all,400,0,0,0,5
ダート,1200,不良,all,410,0,0,0,4
ダート,1200,不良,all,420,0,1,0,13
ダート,1200,不良,all,430,0,1,0,8
ダート,1200,不良,all,440,1,4,2,19
ダート,1200,不良,all,450,3,1,2,32
ダート,1200,不良,all,460,1,4,2,26
ダート,1200,不良,all,470,3,2,4,30
ダート,1200,不良,all,480,4,2,2,28
ダート,1200,不良,all,490,0,3,4,28
ダート,1200,不良,all,500,2,1,2,19
ダート,1200,不良,all,510,2,2,2,15
ダート,1200,不良,all,520,2,0,1,7
ダート,1200,不良,all,530,2,0,0,3
ダート,1200,不良,all,540,0,0,1,1
ダート,1200,不良,all,550,0,0,0,2
ダート,1200,不良,新馬,400,0,0,0,1
ダート,1200,不良,新馬,410,0,0,0,1
ダート,1200,不良,新馬,420,0,0,0,1
ダート,1200,不良,新馬,430,0,0,0,1
ダート,1200,不良,新馬,440,0,0,0,1
ダート,1200,不良,新馬,450,0,0,1,2
ダート,1200,不良,新馬,460,0,1,0,3
ダート,1200,不良,新馬,470,0,0,0,2
ダート,1200,不良,新馬,480,1,0,0,3
ダート,1200,不良,新馬,490,0,1,1,3
ダート,1200,不良,新馬,500,0,0,0,1
ダート,1200,不良,新馬,510,0,0,0,2
ダート,1200,不良,新馬,520,1,0,0,0
ダート,1200,不良,新馬,530,0,0,0,1
ダート,1200,不良,未勝利,390,1,0,0,1
ダート,1200,不良,未勝利,400,0,0,0,4
ダート,1200,不良,未勝利,410,0,0,0,3
ダート,1200,不良,未勝利,420,0,1,0,8
ダート,1200,不良,未勝利,430,0,1,0,6
ダート,1200,不良,未勝利,440,1,3,2,10
ダート,1200,不良,未勝利,450,2,0,0,12
ダート,1200,不良,未勝利,460,1,2,0,15
ダート,1200,不良,未勝利,470,1,0,3,15
