,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,ベッサラビア,セ7,60.0,田村,藤沢,栗東,2017106222,01105,ロードカナロア ,トーコーヴィオラ ,ディープインパクト 
1,2,2,メイショウコホク,セ7,60.0,黒岩,藤沢,栗東,2017106373,01072,ダイワメジャー ,アルペンローズ Alpine Rose(米) ,Kris S. 
2,3,3,コンテナワールド,牡3,58.0,井上,中竹,栗東,2021104924,01151,エピファネイア ,ユッカマウンテン ,アグネスタキオン 
3,4,4,ソルトロング,牡3,58.0,小野寺,木原,栗東,2021102960,01123,ニューイヤーズデイ ,アドマイヤアロング ,スペシャルウィーク 
4,5,5,ラズルダズル,牡7,60.0,中村,茶木,栗東,2017105602,01101,ルーラーシップ ,ラシンティランテ ,アグネスタキオン 
5,6,6,アーベントイアー,牡3,58.0,上野,水野,美浦,2021103057,01087,ロゴタイプ ,ララベスラーナ ,デュランダル 
6,6,7,ホウオウエクレール,牡7,60.0,小牧加,宮,栗東,2017103293,01196,ブラックタイド ,タマヒカル ,パラダイスクリーク Paradise Creek(米) 
7,7,8,マケルナマサムネ,牡6,60.0,難波,畑端,栗東,2018105814,01066,ディープブリランテ ,ナオミノユメ ,ジャングルポケット 
8,7,9,トラファルガー,セ4,60.0,石神深,加藤和,美浦,2020104922,01059,リオンディーズ ,マチュアード Matured(英) ,Manduro (独) 
9,8,10,バルミュゼット,牡5,60.0,森一,藤野,栗東,2019106701,01139,フリオーソ ,バルフューレント ,ファスリエフ Fasliyev(米) 
10,8,11,ノーティアス,牡5,60.0,五十嵐,宗像,美浦,2019104908,01069,ハービンジャー Harbinger(英) ,ホーカーハリケーン ,ネオユニヴァース 
