,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,ラエール,牝6,58.0,上野,土田,美浦,2019106851,01087,エイシンフラッシュ ,ビジョナリー ,ディープインパクト 
1,2,2,トーアモルペウス,セ5,60.0,石神深,辻,美浦,2020103173,01059,タリスマニック Talismanic(英) ,トーアヒミコ ,クロフネ 
2,3,3,メイショウアツイタ,牡7,60.0,難波,高橋忠,栗東,2018105731,01066,フェノーメノ ,ロジカルクィーン ,Deputy Minister 
3,4,4,ウイングランブルー,牡5,60.0,大江圭,深山,美浦,2020105211,01120,ゴールドシップ ,サマーラグーン ,ボストンハーバー Boston Harbor(米) 
4,5,5,アンクルブラック,牡5,60.0,高田,高橋亮,栗東,2020101756,01046,キタサンブラック ,ウインクルキラリ ,ダンスインザダーク 
5,6,6,ブリヨンカズマ,牡6,60.0,伴,高橋文,美浦,2019105262,01149,クロフネ ,スプレンダークラン ,ルーラーシップ 
6,7,7,クラップサンダー,牡6,60.0,黒岩,牧田,栗東,2019103278,01072,ジャスタウェイ ,ゲッコウ ,キングカメハメハ 
7,7,8,レッドバロッサ,セ6,60.0,小牧加,佐藤悠,栗東,2019105473,01196,ドレフォン Drefong(米) ,モスカートローザ ,ディープインパクト 
8,8,9,ケンアンビシャス,牡7,60.0,草野,久保田,美浦,2018103796,01113,トゥザワールド ,モルフェキイ ,モルフェデスペクタ 
9,8,10,アサクサゲンキ,セ10,60.0,小坂,四位,栗東,2015110032,01063,Stormy Atlantic ,Amelia ,Dixieland Band 
