,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,ラッキーダンス,牝4,58.0,江田勇,新開,454(+16),83.1,12,美浦,2022106116,1023,カリフォルニアクローム,カーナヴァル,ダンスインザダーク
1,2,2,アウスヴァール,セ8,60.0,森一,昆,498(+6),5.1,2,栗東,2018101010,1139,ノヴェリスト,カネツスペシャル,スペシャルウィーク
2,3,3,ジロラータ,牡4,60.0,草野,久保田,484(+14),18.9,8,美浦,2022105347,1113,リアルインパクト,シティイメージ,Elusive City
3,4,4,メイショウトム,牡5,60.0,難波,谷,486(+2),12.5,6,栗東,2021110065,1066,パレスマリス,Nothing But Tom,Street Cry
4,5,5,ビジューブリランテ,セ8,58.0,△坂口,浅利,496(0),8.0,3,美浦,2018105199,1211,ディープブリランテ,ビジュートウショウ,ディープスカイ
5,5,6,ノーブルクライ,牡6,60.0,五十嵐,中舘,496(-10),2.7,1,美浦,2020102976,1069,ハーツクライ,ノーブルジュエリー,Smarty Jones
6,6,7,スペイドアン,牡5,60.0,上野,加藤士,512(-6),16.9,7,美浦,2021103770,1087,カリフォルニアクローム,ヘヴンリーウインド,ダイワメジャー
7,6,8,クラリティー,牝4,58.0,伴,平岩,488(+12),33.5,10,美浦,2022101404,1149,サトノダイヤモンド,クラリネット,Giant's Causeway
8,7,9,セイウンビッグバン,牡4,57.0,▲水沼,萱野,444(-2),8.0,5,美浦,2022100737,1201,アドマイヤマーズ,セイウンメテオ,Acclamation
9,7,10,サミアド,牡5,60.0,大江圭,竹内,504(-10),23.5,11,美浦,2021109086,1120,シャンハイボビー,エイシンバンバ,Rock Hard Ten
10,8,11,タイセイレスポンス,セ5,60.0,小牧加,安田,492(0),7.2,4,栗東,2021105646,1196,ミッキーアイル,チャイマックス,Congrats
11,8,12,プレミアブルー,牡4,60.0,中村,菊川,458(-6),40.6,9,美浦,2022102387,1101,トーセンラー,ナイキアムール,マヤノトップガン
