,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,v3_score,v3_rank,p_ai,p_market
0,1,1,カッタッパ,牡3,56.0,松本,森秀,480(+6),28.2,9,栗東,2023107534,1191,Speightstown,Smuggler's Moon,Gun Runner,-0.6592822453048554,8,-0.92197362468416,11,-0.7395062168559771,9,-0.3221171015041998,7,0.0644477001384958,0.0280808776685477
1,2,2,ビーマックス,牡4,58.0,川田,藤野,504(-2),11.7,5,栗東,2022100729,1088,サトノアラジン,タマモカトルズ,サウスヴィグラス,-0.6795778581556031,9,-1.0026718898515437,12,-0.523348107082524,8,-1.3716081036000949,12,0.0225641653122544,0.0676821154062432
2,3,3,キャリーグレイス,牝4,56.0,舟山,寺島,458(+2),18.8,7,栗東,2022100091,1221,カリフォルニアクローム,ジーニアル,キングカメハメハ,-0.3916636090573401,7,-0.3863610048713521,7,-0.3815824791059636,7,-0.0996927471373319,6,0.0805017077661238,0.0421213165028215
3,4,4,オセアエクスプレス,牡5,58.0,佐々木,菊川,494(+4),66.0,10,美浦,2021104145,1197,アジアエクスプレス,フロリール,クロフネ,-1.0817255171801436,11,0.8859525198293645,1,0.1739633530673542,2,-0.9906916070634144,10,0.0330254850863553,0.0119981931856522
4,5,5,ストロングボンド,セ3,56.0,長浜,菊川,440(0),123.8,12,美浦,2023105661,1214,リーチザクラウン,ミヤジサクラコ,ロードカナロア,-1.155609099825157,12,-0.8391753935101097,10,-0.981963318186922,12,-1.0762026458104068,11,0.0303188157008339,0.0063964519406546
5,5,6,マメタンク,牡3,56.0,斎藤,東田,444(-2),3.4,1,栗東,2023105591,1178,フィレンツェファイア,グラスルノン,フレンチデピュティ,1.368391688807874,2,-0.1117398411567281,6,-0.2718989611973973,6,-0.0147342486636885,4,0.0876399458763468,0.2329061030156017
6,6,7,タッカージーティー,牝4,56.0,横山武,鈴木伸,490(+8),4.8,3,美浦,2022106261,1170,ヘニーヒューズ,シャワーブーケ,ゴールドアリュール,0.7236047873022194,4,0.0477964847781514,5,-0.0663448747782445,4,-0.0683736591834833,5,0.0830628447238694,0.1649751563027179
7,6,8,クインズシフォン,牝4,56.0,吉田隼,和田郎,454(-6),19.0,6,美浦,2022103857,1095,デクラレーションオブウォー,ケイアイエーデル,トワイニング,-0.2774675626832268,6,0.1323415940415256,4,0.1809310750737515,1,0.0530524135088183,3,0.0937867473076695,0.0416779342238445
8,7,9,ウーマンズパワー,牝3,54.0,横山琉,中尾,456(+4),5.8,4,栗東,2023103929,1192,タワーオブロンドン,ジョジョニー,ゴールドアリュール,1.7790202529478385,1,-0.6530827181527601,9,-0.2373697881343897,5,0.9509390718942924,1,0.2301911884416834,0.136531163836732
9,7,10,パールフロント,牝4,56.0,北村友,寺島,530(-6),3.6,2,栗東,2022102427,1102,デクラレーションオブウォー,マーキークラブ,クロフネ,0.9746324982132676,3,-0.5506493527042651,8,-0.877657014545046,11,-0.4572787855030993,9,0.0562998775574345,0.2199668750702905
10,8,11,フェデルミエール,牝4,56.0,黛,中川,504(+4),76.8,11,美浦,2022104479,1109,ゴールドアクター,エリーフェアリー,アルデバラン,-0.8817347137282667,10,0.3330901709217018,3,-0.8667525685246669,10,-0.4413780351236894,8,0.0572022429883022,0.0103109472689198
11,8,12,キーガッツ,牡4,58.0,西村淳,杉山佳,470(-2),21.2,8,栗東,2022106513,1171,シュヴァルグラン,キーレター,リンドシェーバー,0.2814113786633935,5,0.4841740103039039,2,-0.0624747263740449,3,0.5931802623299407,2,0.1609592791006305,0.0373528655779738
